2026-01-01 | 70000
2026-01-02 | 139000
2026-01-03 | 110000
2026-01-04 | 62000
2026-01-05 | 53000
2026-01-06 | 96000
2026-01-07 | 52000
2026-01-08 | 82000
2026-01-09 | 127000
2026-01-10 | 148000
2026-01-11 | 67000
2026-01-12 | 86000
2026-01-13 | 82000
2026-01-14 | 66000
2026-01-15 | 85000
2026-01-16 | 92000
2026-01-17 | 65000
2026-01-18 | 50000
2026-01-19 | 69000
2026-01-20 | 120000
2026-01-21 | 94000
2026-01-22 | 59000
2026-01-23 | 52000
2026-01-24 | 95000
2026-01-25 | 74000
2026-01-26 | 125000
2026-01-27 | 136000
2026-01-28 | 134000
2026-01-29 | 80000
2026-01-30 | 65000
2026-01-31 | 99000
2026-02-01 | 91000
2026-02-02 | 54000
2026-02-03 | 77000
2026-02-04 | 70000
2026-02-05 | 50000
2026-02-06 | 90000
2026-02-07 | 95000
2026-02-08 | 75000
2026-02-09 | 147000
2026-02-10 | 97000
2026-02-11 | 64000
2026-02-12 | 125000
2026-02-13 | 112000
2026-02-14 | 95000
2026-02-15 | 140000
2026-02-16 | 54000
2026-02-17 | 139000
2026-02-18 | 126000
2026-02-19 | 89000
2026-02-20 | 96000
2026-02-21 | 79000
2026-02-22 | 144000
2026-02-23 | 136000
2026-02-24 | 98000
2026-02-25 | 121000
2026-02-26 | 56000
2026-02-27 | 118000
2026-02-28 | 71000
2026-03-01 | 74000
2026-03-02 | 60000
2026-03-03 | 119000
2026-03-04 | 73000
2026-03-05 | 69000
2026-03-06 | 69000
2026-03-07 | 83000
2026-03-08 | 111000
2026-03-09 | 117000
2026-03-10 | 59000
2026-03-11 | 140000
2026-03-12 | 90000
2026-03-13 | 70000
2026-03-14 | 55000
2026-03-15 | 81000
2026-03-16 | 129000
2026-03-17 | 135000
2026-03-18 | 83000
2026-03-19 | 95000
2026-03-20 | 141000
2026-03-21 | 105000
2026-03-22 | 106000
2026-03-23 | 146000
2026-03-24 | 93000
2026-03-25 | 115000
2026-03-26 | 56000
2026-03-27 | 76000
2026-03-28 | 75000
2026-03-29 | 103000
2026-03-30 | 143000
2026-03-31 | 60000
